total,amt1,amt2
59.41,59.41,0
59.46,59.46,0
59.47,50.59,8.88
59.49,59.49,0
59.5,59.5,0
59.58,59.58,0
59.6,59.6,0
59.6,59.6,0
59.6,59.6,0
59.61,59.61,0
59.61,59.61,0
59.65,59.65,0
59.73,53.23,6.5
59.74,59.74,0
59.76,59.76,0
59.77,59.77,0
59.79,59.79,0
59.86,59.86,0
59.92,59.92,0
59.96,59.96,0
59.98,59.98,0
60,45,15
60,60,0
60,60,0
60,60,0
60.01,56.51,3.5
60.06,51.06,9
60.06,60.06,0
60.12,60.12,0
60.16,53.66,6.5
60.19,55.19,5
60.2,60.2,0
60.21,60.21,0
60.22,60.22,0
60.23,60.23,0
60.26,60.26,0
60.28,60.28,0
60.3,60.3,0
60.33,60.33,0
60.42,60.42,0
60.45,60.45,0
60.45,60.45,0
60.46,60.46,0
60.46,60.46,0
60.48,60.48,0
60.55,60.55,0
60.57,59.57,1
60.59,60.59,0
60.6,57.83,2.77
60.63,60.63,0
60.64,60.64,0
60.7,60.7,0
60.71,57.86,2.85
60.71,60.71,0
60.74,60.74,0
60.82,60.82,0
60.84,53.84,7
60.84,57.64,3.2
60.88,30.44,30.44
60.89,60.89,0
60.9,60.9,0
60.9,60.9,0
60.9,60.9,0
60.99,60.99,0
60.99,60.99,0
61.02,61.02,0
61.06,61.06,0
61.09,61.09,0
61.15,52.81,8.34
61.22,61.22,0
61.24,61.24,0
61.29,61.29,0
61.31,59.5,1.81
61.32,61.32,0
61.34,61.34,0
61.35,59.56,1.79
61.41,61.41,0
61.41,61.41,0
61.48,61.48,0
61.48,61.48,0
61.51,61.51,0
61.52,61.52,0
61.66,61.66,0
61.72,58.72,3
61.72,61.72,0
61.74,61.74,0
61.75,61.75,0
61.76,61.76,0
61.77,59.9,1.87
61.79,61.79,0
61.8,60.04,1.76
61.82,61.82,0
61.92,35.92,26
61.95,61.95,0
61.95,61.95,0
61.99,61.99,0
62,62,0
62.03,62.03,0
62.1,62.1,0
62.17,58.17,4
62.17,62.17,0
62.21,62.21,0
62.31,62.31,0
62.34,54.34,8
62.38,61.38,1
62.4,51.4,11
62.41,62.41,0
62.41,62.41,0
62.44,62.44,0
62.47,62.47,0
62.54,62.54,0
62.63,62.63,0
62.63,62.63,0
62.64,62.64,0
62.65,59.65,3
62.65,62.65,0
62.72,62.72,0
62.84,62.84,0
62.89,62.89,0
62.89,62.89,0
62.96,62.27,0.69
62.97,62.97,0
62.97,62.97,0
62.98,62.98,0
62.99,62.99,0
63,60,3
63.05,56.55,6.5
63.14,42.14,21
63.17,63.17,0
63.25,63.25,0
63.28,38.28,25
63.28,63.28,0
63.29,63.29,0
63.3,63.3,0
63.31,54.31,9
63.33,54.33,9
63.41,63.34,0.07
63.41,63.41,0
63.41,63.41,0
63.42,63.42,0
63.46,63.46,0
63.49,63.49,0
63.5,63.5,0
63.65,63.65,0
63.69,48.69,15
63.7,58.7,5
63.78,45.68,18.1
63.88,63.88,0
63.97,63.97,0
64,64,0
64,64,0
64,64,0
64,64,0
64,64,0
64.08,62.08,2
64.08,64.08,0
64.09,64.09,0
64.09,64.09,0
64.12,64.12,0
64.16,64.16,0
64.17,64.17,0
64.17,64.17,0
64.26,64.26,0
64.28,64.28,0
64.31,64.31,0
64.35,64.35,0
64.38,64.38,0
64.41,64.41,0
64.42,16.42,48
64.42,64.42,0
64.52,64.52,0
64.54,63.62,0.92
64.63,64.63,0
64.64,64.64,0
64.64,64.64,0
64.68,64.68,0
64.74,58.24,6.5
64.77,64.77,0
64.78,64.78,0
64.8,64.8,0
64.83,64.83,0
64.83,64.83,0
64.84,64.84,0
64.85,46.85,18
64.87,54.79,10.08
64.9,64.9,0
64.92,64.92,0
64.95,64.95,0
65.01,65.01,0
65.03,65.03,0
65.11,53.11,12
65.12,65.12,0
65.14,65.14,0
65.17,65.17,0
65.18,63.18,2
65.18,65.18,0
65.19,47.19,18
65.19,65.19,0
65.2,65.2,0
65.34,62.34,3
65.37,65.37,0
65.37,65.37,0
65.37,65.37,0
65.44,52.44,13
65.49,59.49,6
65.59,64.59,1
65.6,65.6,0
65.6,65.6,0
65.62,65.62,0
65.65,65.65,0
65.65,65.65,0
65.66,65.66,0
65.67,65.67,0
65.69,65.69,0
65.69,65.69,0
65.78,34.84,30.94
65.83,65.83,0
65.85,65.85,0
65.85,65.85,0
65.92,65.92,0
65.96,62.32,3.64
65.97,63.97,2
66,64.21,1.79
66,66,0
66.05,46.05,20
66.06,59.28,6.78
66.06,66.06,0
66.06,66.06,0
66.09,66.09,0
66.09,66.09,0
66.13,64.13,2
66.14,66.14,0
66.2,66.2,0
66.24,66.24,0
66.25,66.25,0
66.28,50.17,16.11
66.28,52.28,14
66.36,66.36,0
66.4,18.4,48
66.46,58.46,8
66.48,60.48,6
66.51,66.51,0
66.59,66.59,0
66.6,65.6,1
66.62,32.86,33.76
66.74,66.74,0
66.75,66.75,0
66.75,66.75,0
66.86,66.86,0
66.86,66.86,0
66.88,9.88,57
66.91,66.91,0
67,67,0
67.01,67.01,0
67.05,67.05,0
67.06,67.06,0
67.07,67.07,0
67.09,67.09,0
67.11,67.11,0
67.12,67.12,0
